,zone,pole,lat,lng
427,Downtown,15-820,32.714266,-117.150534
428,Downtown,15-821,32.714028,-117.150411
429,Downtown,15-822,32.714323,-117.150523
430,Downtown,15-823,32.714049,-117.15043
431,Downtown,15-824,32.714329,-117.15051
432,Downtown,15-826,32.7144,-117.15049
433,Downtown,15-827,32.713988,-117.150314
434,Downtown,15-828,32.714407,-117.150502
435,Downtown,15-829,32.714298,-117.15025
436,Downtown,15-830,32.714444,-117.150506
437,Downtown,15-831,32.714328,-117.150242
438,Downtown,15-832,32.714454,-117.15051
439,Downtown,15-833,32.714417,-117.150262
440,Downtown,15-834,32.714265,-117.150597
441,Downtown,15-835,32.714419,-117.150261
442,Downtown,15-836,32.71452,-117.150484
443,Downtown,15-837,32.714498,-117.150309
444,Downtown,15-839,32.714511,-117.150322
445,Downtown,15-841,32.714572,-117.15032
446,Downtown,15-843,32.714632,-117.15032
447,Downtown,15-902,32.714865,-117.150504
448,Downtown,15-904,32.714922,-117.150505
449,Downtown,15-906,32.71496,-117.150505
450,Downtown,15-908,32.715017,-117.150505
451,Downtown,15-910,32.715056,-117.150506
452,Downtown,15-912,32.715113,-117.150506
453,Downtown,15-914,32.715151,-117.150506
454,Downtown,15-916,32.715208,-117.150507
455,Downtown,15-918,32.715246,-117.150507
456,Downtown,15-920,32.715304,-117.150507
457,Downtown,15-922,32.715342,-117.150508
458,Downtown,15-924,32.715358,-117.150396
459,Downtown,15-926,32.715399,-117.150508
460,Downtown,15-928,32.715437,-117.150508
461,Downtown,15-930,32.715495,-117.150509
462,Downtown,15-932,32.715533,-117.150509
463,Downtown,15-934,32.71559,-117.150509
464,Downtown,15-936,32.715628,-117.15051
465,Downtown,15-938,32.715685,-117.15051
466,Downtown,16-1004,32.71595,-117.149591
467,Downtown,16-1006,32.716086,-117.149592
468,Downtown,16-1007,32.71606,-117.149389
469,Downtown,16-1009,32.716063,-117.149404
470,Downtown,16-1011,32.71612,-117.149501
471,Downtown,16-1012,32.716384,-117.149362
472,Downtown,16-1013,32.716146,-117.149509
473,Downtown,16-1014,32.716379,-117.149593
474,Downtown,16-1015,32.716138,-117.149496
475,Downtown,16-1016,32.716515,-117.149594
476,Downtown,16-1017,32.716341,-117.149584
477,Downtown,16-1018,32.716479,-117.149407
478,Downtown,16-1019,32.716371,-117.149609
479,Downtown,16-1020,32.716461,-117.149416
480,Downtown,16-1021,32.716569,-117.149575
481,Downtown,16-1023,32.716558,-117.149427
482,Downtown,16-119,32.706683,-117.149351
483,Downtown,16-121,32.707007,-117.149351
484,Downtown,16-400W,32.709862,-117.149547
485,Downtown,16-602,32.711712,-117.149562
486,Downtown,16-604,32.711813,-117.149562
487,Downtown,16-606,32.711934,-117.149563
488,Downtown,16-608,32.712035,-117.149564
489,Downtown,16-610,32.712156,-117.149565
490,Downtown,16-612,32.712257,-117.149566
491,Downtown,16-614,32.712129,-117.149503
492,Downtown,16-626,32.712379,-117.149567
493,Downtown,16-701,32.712823,-117.149388
494,Downtown,16-703,32.712957,-117.149389
495,Downtown,16-705,32.713091,-117.14939
496,Downtown,16-710,32.713244,-117.149573
497,Downtown,16-716,32.713378,-117.149574
498,Downtown,16-718,32.713512,-117.149575
499,Downtown,16-807,32.713782,-117.149394
500,Downtown,16-809,32.713878,-117.149394
501,Downtown,16-813,32.713954,-117.149395
502,Downtown,16-814,32.714049,-117.149577
503,Downtown,16-816,32.714144,-117.149578
504,Downtown,16-817,32.714256,-117.149396
505,Downtown,16-818,32.714355,-117.149579
506,Downtown,16-819,32.714436,-117.149398
507,Downtown,16-820,32.715606,-117.150828
508,Downtown,16-822,32.714535,-117.149581
509,Downtown,16-824,32.714615,-117.149582
510,Downtown,16-825,32.715614,-117.150837
511,Downtown,16-903,32.715033,-117.149529
512,Downtown,16-905,32.715113,-117.149732
513,Downtown,16-907,32.715125,-117.149594
514,Downtown,16-909,32.715235,-117.149641
515,Downtown,16-911,32.715211,-117.149727
516,Downtown,16-913,32.715251,-117.149405
517,Downtown,16-915,32.715404,-117.149406
518,Downtown,16-917,32.715511,-117.149828
519,Downtown,16-919,32.715499,-117.149848
520,Downtown,16-921,32.715589,-117.150854
521,Downtown,16-923,32.715563,-117.149703
522,Uptown,1901-04-01 00:00:00,32.725361,-117.161078
523,Uptown,1917-04-01 00:00:00,32.725554,-117.161079
524,Uptown,1919-04-01 00:00:00,32.725748,-117.161081
525,Uptown,1921-04-01 00:00:00,32.725942,-117.161082
526,Uptown,4-1900E,32.719074,-117.144713
527,Uptown,4-1901,32.725361,-117.161078
528,Uptown,4-1917,32.725554,-117.161079
529,Uptown,4-1919,32.725748,-117.161081
530,Uptown,4-1921,32.725942,-117.161082
