"zone","area","sub_area","pole","config_id","config_name","date_inventory","lat","lng","sapid"
"Uptown","Bankers Hill","2000 FIRST AVE","2009-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.726623","-117.163825","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","2011-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.726720","-117.163826","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","2013-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.726836","-117.163827","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","2015-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.726933","-117.163827","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","2021-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.727049","-117.163828","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","2320-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.730043","-117.164148","SS-000024"
"Uptown","Bankers Hill","2100 FIRST AVE","1-2118","49382","Sunday Mode","2021-01-04","32.727500","-117.164013","SS-000023"
"Uptown","Bankers Hill","2100 FIRST AVE","1-2118","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.727500","-117.164013","SS-000023"
"Uptown","Bankers Hill","2100 FIRST AVE","2118-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.727500","-117.164013","SS-000023"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2214","49382","Sunday Mode","2021-01-04","32.728391","-117.164016","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2214","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.728391","-117.164016","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2215","49382","Sunday Mode","2021-01-04","32.728483","-117.163831","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2215","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.728483","-117.163831","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2217","49382","Sunday Mode","2021-01-04","32.728578","-117.163829","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2217","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.728578","-117.163829","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2219","49382","Sunday Mode","2021-01-04","32.728673","-117.163827","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2219","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.728673","-117.163827","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2221","49382","Sunday Mode","2021-01-04","32.728768","-117.163825","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2221","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.728768","-117.163825","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2222","49382","Sunday Mode","2021-01-04","32.728866","-117.164005","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2222","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.728866","-117.164005","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2223","49382","Sunday Mode","2021-01-04","32.728959","-117.163821","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2223","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.728959","-117.163821","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2224","49382","Sunday Mode","2021-01-04","32.729057","-117.164000","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2224","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.729057","-117.164000","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2225","49382","Sunday Mode","2021-01-04","32.729149","-117.163816","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","1-2225","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.729149","-117.163816","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","2214-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.728391","-117.164016","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","2215-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.728483","-117.163831","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","2217-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.728578","-117.163829","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","2219-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.728673","-117.163827","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","2221-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.728768","-117.163825","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","2222-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.728866","-117.164005","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","2223-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.728959","-117.163821","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","2224-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.729057","-117.164000","SS-000022"
"Uptown","Bankers Hill","2200 FIRST AVE","2225-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.729149","-117.163816","SS-000022"
"Uptown","Bankers Hill","2300 FIRST AVE","1-2309","49382","Sunday Mode","2021-01-04","32.729446","-117.163815","SS-000021"
"Uptown","Bankers Hill","2300 FIRST AVE","1-2309","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.729446","-117.163815","SS-000021"
"Uptown","Bankers Hill","2300 FIRST AVE","1-2312","49382","Sunday Mode","2021-01-04","32.729579","-117.163998","SS-000021"
"Uptown","Bankers Hill","2300 FIRST AVE","1-2312","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.729579","-117.163998","SS-000021"
"Uptown","Bankers Hill","2300 FIRST AVE","1-2314","49382","Sunday Mode","2021-01-04","32.729695","-117.163999","SS-000021"
"Uptown","Bankers Hill","2300 FIRST AVE","1-2314","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.729695","-117.163999","SS-000021"
"Uptown","Bankers Hill","2300 FIRST AVE","1-2316","49382","Sunday Mode","2021-01-04","32.729810","-117.164000","SS-000021"
"Uptown","Bankers Hill","2300 FIRST AVE","1-2316","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.729810","-117.164000","SS-000021"
